yyyymmdd,open,high,low,close,return
19500104,16.85000,16.85000,16.85000,16.85000,0.01140
19500105,16.93000,16.93000,16.93000,16.93000,0.00475
19500106,16.98000,16.98000,16.98000,16.98000,0.00295
19500109,17.08000,17.08000,17.08000,17.08000,0.00589
19500110,17.03000,17.03000,17.03000,17.03000,-0.00293
19500111,17.09000,17.09000,17.09000,17.09000,0.00352
19500112,16.76000,16.76000,16.76000,16.76000,-0.01931
19500113,16.67000,16.67000,16.67000,16.67000,-0.00537
19500116,16.72000,16.72000,16.72000,16.72000,0.00300
19500117,16.86000,16.86000,16.86000,16.86000,0.00837
19500118,16.85000,16.85000,16.85000,16.85000,-0.00059
19500119,16.87000,16.87000,16.87000,16.87000,0.00119
19500120,16.90000,16.90000,16.90000,16.90000,0.00178
19500123,16.92000,16.92000,16.92000,16.92000,0.00118
19500124,16.86000,16.86000,16.86000,16.86000,-0.00355
19500125,16.74000,16.74000,16.74000,16.74000,-0.00712
19500126,16.73000,16.73000,16.73000,16.73000,-0.00060
19500127,16.82000,16.82000,16.82000,16.82000,0.00538
19500130,17.02000,17.02000,17.02000,17.02000,0.01189
19500131,17.05000,17.05000,17.05000,17.05000,0.00176
19500201,17.05000,17.05000,17.05000,17.05000,0.00000
19500202,17.23000,17.23000,17.23000,17.23000,0.01056
19500203,17.29000,17.29000,17.29000,17.29000,0.00348
19500206,17.32000,17.32000,17.32000,17.32000,0.00174
19500207,17.23000,17.23000,17.23000,17.23000,-0.00520
19500208,17.21000,17.21000,17.21000,17.21000,-0.00116
19500209,17.28000,17.28000,17.28000,17.28000,0.00407
19500210,17.24000,17.24000,17.24000,17.24000,-0.00231
19500214,17.06000,17.06000,17.06000,17.06000,-0.01044
19500215,17.06000,17.06000,17.06000,17.06000,0.00000
19500216,16.99000,16.99000,16.99000,16.99000,-0.00410
19500217,17.15000,17.15000,17.15000,17.15000,0.00942
19500220,17.20000,17.20000,17.20000,17.20000,0.00292
19500221,17.17000,17.17000,17.17000,17.17000,-0.00174
19500223,17.21000,17.21000,17.21000,17.21000,0.00233
19500224,17.28000,17.28000,17.28000,17.28000,0.00407
19500227,17.28000,17.28000,17.28000,17.28000,0.00000
19500228,17.22000,17.22000,17.22000,17.22000,-0.00347
19500301,17.24000,17.24000,17.24000,17.24000,0.00116
19500302,17.23000,17.23000,17.23000,17.23000,-0.00058
19500303,17.29000,17.29000,17.29000,17.29000,0.00348
19500306,17.32000,17.32000,17.32000,17.32000,0.00174
19500307,17.20000,17.20000,17.20000,17.20000,-0.00693
19500308,17.19000,17.19000,17.19000,17.19000,-0.00058
19500309,17.07000,17.07000,17.07000,17.07000,-0.00698
19500310,17.09000,17.09000,17.09000,17.09000,0.00117
19500313,17.12000,17.12000,17.12000,17.12000,0.00176
19500314,17.25000,17.25000,17.25000,17.25000,0.00759
19500315,17.45000,17.45000,17.45000,17.45000,0.01159
19500316,17.49000,17.49000,17.49000,17.49000,0.00229
19500317,17.45000,17.45000,17.45000,17.45000,-0.00229
19500320,17.44000,17.44000,17.44000,17.44000,-0.00057
19500321,17.45000,17.45000,17.45000,17.45000,0.00057
19500322,17.55000,17.55000,17.55000,17.55000,0.00573
19500323,17.56000,17.56000,17.56000,17.56000,0.00057
19500324,17.56000,17.56000,17.56000,17.56000,0.00000
19500327,17.46000,17.46000,17.46000,17.46000,-0.00569
19500328,17.53000,17.53000,17.53000,17.53000,0.00401
19500329,17.44000,17.44000,17.44000,17.44000,-0.00513
19500330,17.30000,17.30000,17.30000,17.30000,-0.00803
19500331,17.29000,17.29000,17.29000,17.29000,-0.00058
19500403,17.53000,17.53000,17.53000,17.53000,0.01388
19500404,17.55000,17.55000,17.55000,17.55000,0.00114
19500405,17.63000,17.63000,17.63000,17.63000,0.00456
19500406,17.78000,17.78000,17.78000,17.78000,0.00851
19500410,17.85000,17.85000,17.85000,17.85000,0.00394
19500411,17.75000,17.75000,17.75000,17.75000,-0.00560
19500412,17.94000,17.94000,17.94000,17.94000,0.01070
19500413,17.98000,17.98000,17.98000,17.98000,0.00223
19500414,17.96000,17.96000,17.96000,17.96000,-0.00111
19500417,17.88000,17.88000,17.88000,17.88000,-0.00445
19500418,18.03000,18.03000,18.03000,18.03000,0.00839
19500419,18.05000,18.05000,18.05000,18.05000,0.00111
19500420,17.93000,17.93000,17.93000,17.93000,-0.00665
19500421,17.96000,17.96000,17.96000,17.96000,0.00167
19500424,17.83000,17.83000,17.83000,17.83000,-0.00724
19500425,17.83000,17.83000,17.83000,17.83000,0.00000
19500426,17.76000,17.76000,17.76000,17.76000,-0.00393
19500427,17.86000,17.86000,17.86000,17.86000,0.00563
19500428,17.96000,17.96000,17.96000,17.96000,0.00560
19500501,18.22000,18.22000,18.22000,18.22000,0.01448
19500502,18.11000,18.11000,18.11000,18.11000,-0.00604
19500503,18.27000,18.27000,18.27000,18.27000,0.00883
19500504,18.12000,18.12000,18.12000,18.12000,-0.00821
19500505,18.22000,18.22000,18.22000,18.22000,0.00552
19500508,18.27000,18.27000,18.27000,18.27000,0.00274
19500509,18.27000,18.27000,18.27000,18.27000,0.00000
19500510,18.29000,18.29000,18.29000,18.29000,0.00109
19500511,18.29000,18.29000,18.29000,18.29000,0.00000
19500512,18.18000,18.18000,18.18000,18.18000,-0.00601
19500515,18.26000,18.26000,18.26000,18.26000,0.00440
19500516,18.44000,18.44000,18.44000,18.44000,0.00986
19500517,18.52000,18.52000,18.52000,18.52000,0.00434
19500518,18.56000,18.56000,18.56000,18.56000,0.00216
19500519,18.68000,18.68000,18.68000,18.68000,0.00647
19500522,18.60000,18.60000,18.60000,18.60000,-0.00428
19500523,18.71000,18.71000,18.71000,18.71000,0.00591
19500524,18.69000,18.69000,18.69000,18.69000,-0.00107
19500525,18.69000,18.69000,18.69000,18.69000,0.00000
19500526,18.67000,18.67000,18.67000,18.67000,-0.00107
19500529,18.72000,18.72000,18.72000,18.72000,0.00268
19500531,18.78000,18.78000,18.78000,18.78000,0.00321
19500601,18.77000,18.77000,18.77000,18.77000,-0.00053
19500602,18.79000,18.79000,18.79000,18.79000,0.00107
19500605,18.60000,18.60000,18.60000,18.60000,-0.01011
19500606,18.88000,18.88000,18.88000,18.88000,0.01505
19500607,18.93000,18.93000,18.93000,18.93000,0.00265
19500608,19.14000,19.14000,19.14000,19.14000,0.01109
19500609,19.26000,19.26000,19.26000,19.26000,0.00627
19500612,19.40000,19.40000,19.40000,19.40000,0.00727
19500613,19.25000,19.25000,19.25000,19.25000,-0.00773
19500614,18.98000,18.98000,18.98000,18.98000,-0.01403
19500615,18.93000,18.93000,18.93000,18.93000,-0.00263
19500616,18.97000,18.97000,18.97000,18.97000,0.00211
19500619,18.92000,18.92000,18.92000,18.92000,-0.00264
19500620,18.83000,18.83000,18.83000,18.83000,-0.00476
19500621,19.00000,19.00000,19.00000,19.00000,0.00903
19500622,19.16000,19.16000,19.16000,19.16000,0.00842
19500623,19.14000,19.14000,19.14000,19.14000,-0.00104
19500626,18.11000,18.11000,18.11000,18.11000,-0.05381
19500627,17.91000,17.91000,17.91000,17.91000,-0.01104
19500628,18.11000,18.11000,18.11000,18.11000,0.01117
19500629,17.44000,17.44000,17.44000,17.44000,-0.03700
19500630,17.69000,17.69000,17.69000,17.69000,0.01433
19500703,17.64000,17.64000,17.64000,17.64000,-0.00283
19500705,17.81000,17.81000,17.81000,17.81000,0.00964
19500706,17.91000,17.91000,17.91000,17.91000,0.00561
19500707,17.67000,17.67000,17.67000,17.67000,-0.01340
19500710,17.59000,17.59000,17.59000,17.59000,-0.00453
19500711,17.32000,17.32000,17.32000,17.32000,-0.01535
19500712,16.87000,16.87000,16.87000,16.87000,-0.02598
19500713,16.69000,16.69000,16.69000,16.69000,-0.01067
19500714,16.87000,16.87000,16.87000,16.87000,0.01078
19500717,16.68000,16.68000,16.68000,16.68000,-0.01126
19500718,17.06000,17.06000,17.06000,17.06000,0.02278
19500719,17.36000,17.36000,17.36000,17.36000,0.01759
19500720,17.61000,17.61000,17.61000,17.61000,0.01440
19500721,17.59000,17.59000,17.59000,17.59000,-0.00114
19500724,17.48000,17.48000,17.48000,17.48000,-0.00625
19500725,17.23000,17.23000,17.23000,17.23000,-0.01430
19500726,17.27000,17.27000,17.27000,17.27000,0.00232
19500727,17.50000,17.50000,17.50000,17.50000,0.01332
19500728,17.69000,17.69000,17.69000,17.69000,0.01086
